,nom,ref,bp,married,age_married,where_met_spouse,how_met_spouse,married_before,times_married_before,prev_spouse_dead,prev_spouse_div,polygamy_ever,clan.x,clan_mum,clan_dad,clan_spouse,ref_spouse,bp_spouse,kids.x,kids_alive.x,camp_name.x,house_num,house_ppl,time_camp,sex.x,age_group.x,region,year,clan.y,camp_name.y,sex.y,age_group.y,kids.y,kids_alive.y,residence_camp,camp_region,loc,people_number_2022,set_type
101,Keke,M83,Mboule,1,Enfant,Bangui,funeral,0,,,NA,1,Boudje,Ebonga,Boudje,Bodzoyi,362,Mboule,1,7,Kakelo2,1,6,1,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo2,C,F,11,forest_camp
102,Keke,M84,Bangui,1,Enfant,Bangui,funeral,0,,,NA,0,Bodzoyi,,Bodzoyi,Boudje,361,Mboule,1,7,Kakelo2,1,6,1,F,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo2,C,F,11,forest_camp
103,Keke,M89,Mboule,0,,,,0,,,NA,0,Boudje,Bodzoyi,Boudje,,,,NA,NA,Kakelo2,3,2,1,M,Adolescent,Macao,2022,NA,NA,NA,NA,NA,NA,Kakelo2,C,F,11,forest_camp
104,Keke,M304,Bangui,1,Enfant,Bangui,funeral,0,,,NA,0,Boudje,Bongomba,Boudje,Emeke,366,Bobate,NA,1,Keke,6,3,2,F,Adulte,Macao,2023,Boudje,Keke,F,Adulte,1,1,Keke,C,F,39,forest_camp
105,Keke,M305,Bangui,1,Enfant,Bangui,funeral,0,,,NA,1,Bokeba,,,,365,Bangui,NA,1,Keke,6,3,1,M,Adulte,Macao,2023,Bokeba,Keke,M,Adulte,1,1,Keke,C,F,39,forest_camp
106,Keke,M306,Manfouete,1,Adulte,Manfouete,funeral,0,,,NA,0,Bolobe,Botengue,Bolobe,Boyengue,368,,NA,5,Keke,7,6,1,M,Adulte,Macao,2023,Boyengue,Keke,M,Adulte,1,5,Keke,C,F,39,forest_camp
107,Keke,M307,Manfouete,1,Adolescent,Manfouete,funeral,0,,,NA,0,Boyengue,,Boyengue,Bolobe,367,Manfouete,NA,4,Keke,7,6,1,F,Adulte,Macao,2023,Boyengue,Keke,F,Adulte,1,4,Keke,C,F,39,forest_camp
108,Keke,M308,Bangui,1,Adulte,Bangui,home_visit,0,,,NA,0,Ebonga,Emeke,Ebonga,Boudje,370,Bangui,NA,2,Keke,8,4,2,M,Adulte,Macao,2023,Ebonga,Keke,M,Adulte,1,2,Keke,C,F,39,forest_camp
109,Keke,M309,Bangui,1,Adolescent,Bangui,home_visit,0,,,NA,0,Boudje,Bobondzo,Boudje,Ebonga,369,Bangui,NA,2,Keke,8,4,2,F,Adulte,Macao,2023,Boudje,Keke,F,Adulte,1,2,Keke,C,F,39,forest_camp
110,Ngomo,M310,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bopo,,,,,Bangui,NA,4,Ngomo,1,1,1,F,Personne agee,Macao,2023,Bopo,Ngomo,F,Personne agee,1,4,Ngomo,C,F,8,forest_camp
111,Ngomo,M311,Mboule,1,Adolescent,bangui,funeral,0,,,NA,0,Boudje,Bopo,Boudje,Bokobya,373,Bobate,NA,2,Ngomo,2,2,2,F,Adulte,Macao,2023,Boudje,Ngomo,F,Adulte,1,2,Ngomo,C,F,8,forest_camp
112,Ngomo,M312,Bangui,1,Adolescent,Bangui,funeral,1,2,1,1,1,Bokobya,Mongomba,Bokobya,Boudje,372,Mboule,NA,6,Ngomo,2,2,2,M,Adulte,Macao,2023,Bokobya,Ngomo,M,Adulte,1,6,Ngomo,C,F,8,forest_camp
113,Ngomo,M313,Bangui,1,Adulte,Bangui,village,1,1,,1,0,Eepe,Emeke,Eepe,Boudje,375,Bangui,NA,0,Ngomo,3,2,2,M,Adulte,Macao,2023,Eepe,Ngomo,M,Adulte,1,0,Ngomo,C,F,8,forest_camp
114,Ngomo,M314,Bangui,1,Adolescent,Bangui,village,0,,,NA,0,Boudje,,Boudje,,374,Bangui,NA,1,Ngomo,3,2,2,F,Adulte,Macao,2023,Boudje,Ngomo,F,Adulte,1,1,Ngomo,C,F,8,forest_camp
115,Ngomo,M315,Bangui,0,,,,0,,,NA,0,Endoumou,Boudje,Endomou,,,,NA,0,Ngomo,4,3,2,M,Adolescent,Macao,2023,Endoumou,Ngomo,M,Adolescent,0,0,Ngomo,C,F,8,forest_camp
116,Ngomo,M316,Bangui,0,,,,0,,,NA,0,,,,,,,NA,0,Ngomo,4,3,2,M,Adolescent,Macao,2023,,Ngomo,M,Adolescent,0,0,Ngomo,C,F,8,forest_camp
117,Midiba,M317,Bangui,0,,,,0,,,NA,0,Eponga,Eepe,Eponga,,,,NA,0,Midiba,1,1,1,M,Adolescent,Macao,2023,Eponga,Midiba,M,Adolescent,0,0,Midiba,C,F,9,forest_camp
118,Bayamoto,M318,Bangui,1,Adolescent,Bangui,village,0,,,NA,0,Bonguima,Bombondji,Bonguima,Ebonga,380,Bangui,NA,4,Bayamoto,1,5,2,M,Personne agee,Macao,2023,Bonguima,Bayamoto,M,Personne agee,1,4,Bayamoto,C,F,15,forest_camp
119,Bayamoto,M319,,1,Enfant,Bangui,funeral,1,1,,1,0,Ebonga,,Ebonga,Bonguima,379,Bangui,NA,3,Bayamoto,1,5,2,F,Personne agee,Macao,2023,Ebonga,Bayamoto,F,Personne agee,1,3,Bayamoto,C,F,15,forest_camp
120,Bayamoto,M321,Bangui,1,Adolescent,Mboule,village,1,1,,1,0,Ebonga,Emeke,Ebonga,Sambala,382,Mboule,NA,4,Bayamoto,2,5,1,F,Adulte,Macao,2023,Ebonga,Bayamoto,F,Adulte,1,4,Bayamoto,C,F,15,forest_camp
121,Bayamoto,M322,Bangii,1,Adolescent,Bangui,funeral,1,1,,1,0,Sambala,Bonguima,Sambala,Ebonga,381,Bangui,NA,3,Bayamoto,2,5,2,M,Adulte,Macao,2023,Sambala,Bayamoto,M,Adulte,1,3,Bayamoto,C,F,15,forest_camp
122,Bayamoto,M323,Bangui,0,,,,0,,,NA,0,Bonguima,,Bonguima,,,,NA,0,Bayamoto,3,1,2,M,Adulte,Macao,2023,Bonguima,Bayamoto,M,Adulte,0,0,Bayamoto,C,F,15,forest_camp
123,Bayamoto,M324,Bangui,1,Adolescent,Bangui,funeral,1,1,,1,0,Bongomba,,Bongomba,Bonguima,384,Bangui,NA,2,Bayamoto,4,3,2,M,Adolescent,Macao,2023,Bongomba,Bayamoto,M,Adolescent,1,2,Bayamoto,C,F,15,forest_camp
124,Bayamoto,M325,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bonguima,Ebonga,Bonguima,Bongomba,384,Bangui,NA,1,Bayamoto,4,3,1,F,Adolescent,Macao,2023,Bonguima,Bayamoto,F,Adolescent,1,1,Bayamoto,C,F,15,forest_camp
125,Lango,M326,Macao,1,Adulte,Zingo,funeral,0,,,NA,0,Bombembe,Bombela,Bombembe,Bossombo,387,Zingo,NA,4,Lango,1,6,2,F,Adulte,Macao,2023,Bombembe,Lango,F,Adulte,1,4,Lango,C,V,25,village_camp
126,Lango,M328,Zingo,1,Adolescent,Macao,foraging,1,1,,1,1,Bombembe,Bamouanga,Bombembe,Boteke,389,Macao,NA,7,Lango,2,5,4,M,Personne agee,Macao,2023,Bombembe,Lango,M,Personne agee,1,7,Lango,C,V,25,village_camp
127,Lango,M8,macao,1,Enfant,Macao,funeral,0,,,NA,0,Bombembe,Bombela,Bombembe,Bossombo,390,Macao,3,0,Moyimbi,5,4,1,F,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Moyimbi,C,F,11,forest_camp
128,Lango,M329,Macao,1,Adulte,Zingo,funeral,0,,,NA,0,Bombela,,,,393,Macao,NA,4,Lango,4,5,5,M,Adulte,Macao,2023,Bombela,Lango,M,Adulte,1,4,Lango,C,V,25,village_camp
129,Lango,M330,Macao,1,Adulte,Mimpoutou,home_visit,1,1,,1,0,Bombembe,,Bombembe,Kalanga,397,Miputu,NA,2,Lango,6,4,2,M,Adulte,Macao,2023,Bombembe,Lango,M,Adulte,1,2,Lango,C,V,25,village_camp
130,Mbila_MA,M331,Bangui,1,Enfant,Bangui,village,0,,,NA,0,Bokobya,,,,399,Bangui,NA,2,Mbila_MA,1,2,5,M,Personne agee,Macao,2023,Bokobya,Mbila macao,M,Personne agee,1,2,Mbila_MA,C,V,10,village_camp
131,Banga,M332,Macao,1,Adulte,Seke,home_visit,1,1,,1,0,Boteke,Bokalanga,Boteke,Bombela,401,Seke,NA,5,Banga,1,5,2,F,Adulte,Macao,2023,,Banga,F,Adulte,1,5,Banga,R,,NA,village
132,Banga,M332,Macao,1,Adulte,Seke,home_visit,1,1,,1,0,Boteke,Bokalanga,Boteke,Bombela,401,Seke,NA,5,Banga,1,5,2,F,Adulte,Macao,2023,,Banga,F,Adulte,1,5,Banga,C,F,NA,forest_camp
133,Banga,M333,Seke,1,Adulte,Seke,village,1,1,,1,1,Bombela,Bomouya,Bombela,Boteke,400,Macao,NA,5,Banga,1,5,2,M,Adulte,Macao,2023,Bombela,Banga,M,Adulte,1,5,Banga,R,,NA,village
134,Banga,M333,Seke,1,Adulte,Seke,village,1,1,,1,1,Bombela,Bomouya,Bombela,Boteke,400,Macao,NA,5,Banga,1,5,2,M,Adulte,Macao,2023,Bombela,Banga,M,Adulte,1,5,Banga,C,F,NA,forest_camp
135,Banga,M334,,1,Adolescent,Macao,funeral,1,1,,1,0,Edzoyi,Bossombo,Edzoyi,Boteke,404,Macao,NA,2,Banga,2,4,NA,M,Adulte,Macao,2023,Edzoyi,Banga,M,Adulte,1,2,Banga,R,,NA,village
136,Banga,M334,,1,Adolescent,Macao,funeral,1,1,,1,0,Edzoyi,Bossombo,Edzoyi,Boteke,404,Macao,NA,2,Banga,2,4,NA,M,Adulte,Macao,2023,Edzoyi,Banga,M,Adulte,1,2,Banga,C,F,NA,forest_camp
137,Banga,M335,Seke,0,,,,0,,,NA,0,Bombela,Boteke,Bombela,,,,NA,0,Banga,3,1,1,M,Adolescent,Macao,2023,Bombela,Banga,M,Adolescent,0,0,Banga,R,,NA,village
138,Banga,M335,Seke,0,,,,0,,,NA,0,Bombela,Boteke,Bombela,,,,NA,0,Banga,3,1,1,M,Adolescent,Macao,2023,Bombela,Banga,M,Adolescent,0,0,Banga,C,F,NA,forest_camp
139,Ndobalikanbo,M337,Macao,1,Adulte,Macao,village,1,1,,1,0,Bomboutou,Bodjekou,Bomboutou,Bondjo,405,,NA,0,Ndobalikanbo,1,3,1,M,Adulte,Macao,2023,Bomboutou,Ndobalikanbo,M,Adulte,1,0,Ndobalikanbo,C,F,7,forest_camp
140,Ndobalikanbo,M338,Macao,1,Enfant,Macao,home_visit,0,,,NA,0,Boundjo,Bondzala,Boundjo,Bokumu,409,Macao,NA,2,Ndobalikanbo,2,4,2,M,Adulte,Macao,2023,Boundjo,Ndobalikanbo,M,Adulte,1,2,Ndobalikanbo,C,F,7,forest_camp
141,Ndobalikanbo,M339,Macao,1,Adolescent,Macao,village,0,,,NA,0,Boukoumou,Bossombo,Boukoumou,Boundjo,,Macao,NA,2,Ndobalikanbo,NA,4,2,F,Adulte,Macao,2023,Boukoumou,Ndobalikanbo,F,Adulte,1,2,Ndobalikanbo,C,F,7,forest_camp
142,Macao_camp1,M340,Macao,1,Adolescent,Macao,home_visit,0,,,NA,0,,,,,411,Thanry,NA,2,Macao_camp1,1,2,2,M,Adulte,Macao,2023,,Macao camp 1,M,Adulte,1,2,Macao_camp1,C,V,6,village_camp
143,Macao_camp1,M341,Zingo,1,Jeune adulte,Macao,village,1,2,,1,0,Boukoumou,Bossombo,Bokoumou,,,Macao,NA,2,Macao_camp1,NA,2,5,F,Adulte,Macao,2023,Boukoumou,Macao camp 1,F,Adulte,1,2,Macao_camp1,C,V,6,village_camp
144,Macao_camp3,M342,Macao,1,Adulte,Macao,foraging,0,,,NA,0,,,,,416,Macao,NA,1,Macao_camp3,1,3,1,F,Adulte,Macao,2023,,Macao camp 3,F,Adulte,1,1,Macao_camp3,C,V,13,village_camp
145,Macao_camp3,M343,Macao,1,Adolescent,Macao,home_visit,0,,,NA,0,Tongombe,,,,415,Bangui,NA,2,Macao_camp3,2,4,1,F,Adulte,Macao,2023,Tongombe,Macao camp 3,F,Adulte,1,2,Macao_camp3,C,V,13,village_camp
146,Macao_camp3,M344,Bangui,1,Adulte,Macao,village,0,,,NA,0,Emanongo,Bongomba,Emanongo,Botomboli,414,Macao,NA,5,Macao_camp3,2,4,1,M,Adulte,Macao,2023,Emanongo,Macao camp 3,M,Adulte,1,5,Macao_camp3,C,V,13,village_camp
147,Macao_camp3,M345,Macao,1,Adolescent,Macao,village,1,1,,1,0,Bokosse,,,,413,Bangui,NA,1,Macao_camp3,1,3,1,M,Adolescent,Macao,2023,Bokosse,Macao camp 3,M,Adolescent,1,1,Macao_camp3,C,V,13,village_camp
148,Macao_camp5,M346,Macao,1,Adolescent,Macao,funeral,1,1,,1,0,,,,,418,Bobanda,NA,1,Macao_camp5,1,7,5,M,Personne agee,Macao,2023,,Macao camp 5,M,Personne agee,1,1,Macao_camp5,C,V,9,village_camp
149,Macao_camp5,M347,Djoube,1,Adulte,Macao,funeral,1,1,1,NA,0,,,,,417,Macao,NA,3,Macao_camp5,1,7,5,F,Personne agee,Macao,2023,,Macao camp 5,F,Personne agee,1,3,Macao_camp5,C,V,9,village_camp
150,Macao_camp4,M348,Berandjokou,1,Adulte,Macao,village,0,,,NA,0,Bokoti,Bobzewe,Bokoti,Bodzikala,,Macao,NA,2,Macao_camp4,NA,4,5,M,Adulte,Macao,2023,Bokoti,Macao camp 4,M,Adulte,1,2,Macao_camp4,C,V,4,village_camp
151,Macao_camp6,M349,Macao,1,Adolescent,Macao,funeral,0,,,NA,0,Bossombo,Bombongo,Bossombo,Bondzolika,,Macao,NA,8,Macao_camp6,NA,2,5,F,Adulte,Macao,2023,Bossombo,Macao camp 6,F,Adulte,1,8,Macao_camp6,C,V,16,village_camp
152,Macao_camp7,M351,Macao,1,Enfant,Macao,home_visit,0,,,NA,0,Emanongo,,,Bossombo,422,Sombo,NA,4,Macao_camp7,1,5,1,F,Adulte,Macao,2023,Emanongo,macao camp 7,F,Adulte,1,4,Macao_camp7,C,V,12,village_camp
153,Macao_camp7,M352,,1,Adolescent,Macao,funeral,0,,,NA,1,Bossombo,Bokosse,Bossombo,Emanongo,,Pape_village,NA,5,Macao_camp7,NA,7,5,M,Adulte,Macao,2023,Bossombo,Macao camp 7,M,Adulte,1,5,Macao_camp7,C,V,12,village_camp
154,Macao_camp6,M353,Pape_village,1,Adulte,Macao,funeral,1,1,1,NA,0,Bombongo,Bonguima,Bombongo,Bondzolika,,Macao,NA,4,Macao_camp6,2,5,5,F,Adulte,Macao,2023,Bombongo,Macao camp 6,F,Adulte,1,4,Macao_camp6,C,V,16,village_camp
155,Macao_camp8,M354,Macao,0,,,,1,1,,1,0,Boundjo,Bondzala,Boundjo,Bonguima,,Pape_village,NA,6,Macao_camp8,1,9,2,F,Adulte,Macao,2023,Boundjo,Macao camp 8,F,Adulte,1,6,Macao_camp8,C,V,11,village_camp
156,Macao_camp8,M355,Pape_village,0,,,,0,,,NA,0,Bonguima,Boundjo,Bonguima,,,,NA,0,Macao_camp8,1,9,NA,M,Adolescent,Macao,2023,Bonguima,Macao camp 8,M,Adolescent,0,0,Macao_camp8,C,V,11,village_camp
157,Macao_camp9,M357,Macao,1,Adolescent,Macao,bar,0,,,NA,0,Bondzolika,Boteke,Bondzolika,Bombongo,429,Macao,NA,3,Macao_camp9,1,6,1,,Adulte,Macao,2023,Bondzolika,Macao camp 9,,Adulte,1,3,Macao_camp9,C,V,6,village_camp
158,Macao_camp9,M359,Macao,1,Adulte,Macao,bar,1,1,,1,0,Bombongo,Bokosse,bombongo,Bondzolika,428,Macao,NA,3,Macao_camp9,1,6,1,M,Adulte,Macao,2023,Bombongo,Macao camp 9,M,Adulte,1,3,Macao_camp9,C,V,6,village_camp
159,Macao_camp10,M360,Macao,1,Adolescent,Macao,foraging,1,1,1,NA,0,,,,,,Zingo,NA,5,Macao_camp10,1,5,5,F,Adulte,Macao,2023,,Macao camp 10,F,Adulte,1,5,Macao_camp10,C,V,4,village_camp
160,Macao_camp4,M361,Macao,1,Adolescent,Thanry,home_visit,0,,,NA,0,,Bomouanga,,,,,NA,2,Macao_camp4,1,4,3,F,Adolescent,Macao,2023,,Macao camp 4,F,Adolescent,1,2,Macao_camp4,C,V,4,village_camp
161,Macao_camp7,,Macao,1,Enfant,Macao,funeral,0,,,NA,0,,,,,445,Macao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,Macao_camp7,,Seke,1,Adulte,Macao,funeral,0,,,NA,0,,,,,Mort,Macao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,Macao_camp2,,Macao,1,Adolescent,Macao,funeral,0,,,NA,0,,Bossombo,Bondzala,Mokosse,449,Thanry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,Pape_village,M362,Berandjokou,1,Adulte,Pape_village,home_visit,1,1,,1,0,Bombela,Boteke,Bombela,Emanongo,451,Pape_village,NA,0,Pape_village,1,4,2,M,Adulte,Macao,2023,Bombela,Pape village,M,Adulte,1,0,Pape_village,R,,29,village
165,Pape_village,M364,Pape_village,1,Adolescent,Pape_village,home_visit,0,,,NA,0,Emanongo,Bombongo,Emanongo,Bombela,450,Berandjokou,NA,0,Pape_village,1,4,5,F,Adolescent,Macao,2023,Emanongo,Pape_village,F,Adolescent,1,0,Pape_village,R,,29,village
166,Pape_village,M365,Berandjokou,1,Adolescent,Pape_village,home_visit,0,,,NA,0,Bongouako,,Bongouako,Boteke,453,Pape_village,NA,0,Pape_village,1,4,1,M,Adolescent,Macao,2023,Bongouako,Pape_village,M,Adolescent,1,0,Pape_village,R,,29,village
167,Pape_village,M366,Pape_village,1,Adolescent,Pape_village,home_visit,0,,,NA,0,Boteke,,Boteke,Bongouako,452,Berandjokou,NA,0,Pape_village,1,4,5,F,Adolescent,Macao,2023,Boteke,Pape_village,F,Adolescent,1,0,Pape_village,R,,29,village
168,Pape_village,M367,Bangui,1,Adulte,Bangui,foraging,1,2,1,1,1,Bodjombia,Bodjombia,Ekoumou,,345,Pape_village,NA,3,Pape_village,3,1,2,M,Personne agee,Macao,2023,Bodjombia,Pape_village,M,Personne agee,1,3,Pape_village,R,,29,village
169,Pape_village,M368,Pape_village,1,Adulte,Baye,funeral,0,,,NA,0,Emanongo,Bombongo,Emanongo,Bombela,456,Baye,NA,4,Pape_village,5,5,5,M,Adulte,Macao,2023,Emanongo,Pape_village,M,Adulte,1,4,Pape_village,R,,29,village
170,Pape_village,M369,Baye,1,Adolescent,Pape_village,funeral,0,,,NA,0,Boponga,Bombela,,Emanongo,455,Pape_village,NA,4,Pape_village,5,5,5,F,Adolescent,Macao,2023,Boponga,Pape_village,F,Adolescent,1,4,Pape_village,R,,29,village
171,Pape_village,,Pape_village,1,Adulte,Pape_village,foraging,0,,,NA,0,Bombongo,,Bombongo,Bondzala,,Likombo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,Pape_village,,Pape_village,0,,,,0,,,NA,0,Emanongo,Bombongo,Emanongo,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
173,Pape_village,,Baye,1,Adolescent,Pape_village,home_visit,0,,,NA,0,Mokweke,Moteke,Mokweke,Moponga,465,Pape_village,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
174,Pape_village,,Pape_village,1,Adolescent,Pape_village,home_visit,0,,,NA,0,Boponga,Bonguima,Boponga,Mokweke,464,Baye,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
175,Pape_village,,Pape_village,1,Adolescent,Lindongou,home_visit,0,,,NA,0,Emanongo,Bombongo,Emanongo,,467,Bayanga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Pape_village,M370,,1,Adolescent,Pape_village,village,0,,,NA,0,Bombela,Bombongo,Bombela,Emanongo,466,Pape_village,NA,4,Pape_village,7,4,5,F,Adulte,Macao,2023,Bombela,Pape_village,F,Adulte,1,4,Pape_village,R,,29,village
177,Pape_village,M370,,1,Adolescent,Pape_village,village,0,,,NA,0,Bombela,Bombongo,Bombela,Emanongo,466,Pape_village,NA,4,Pape_village,7,4,5,F,Adulte,Macao,2023,Mboma,Pape_village,F,Personne agee,1,1,Pape_village,R,,29,village
178,Pape_village,M370,,1,Adolescent,Pape_village,village,0,,,NA,0,Bombela,Bombongo,Bombela,Emanongo,466,Pape_village,NA,4,Pape_village,8,12,3,F,Personne agee,Macao,2023,Bombela,Pape_village,F,Adulte,1,4,Pape_village,R,,29,village
179,Pape_village,M370,,1,Adolescent,Pape_village,village,0,,,NA,0,Bombela,Bombongo,Bombela,Emanongo,466,Pape_village,NA,4,Pape_village,8,12,3,F,Personne agee,Macao,2023,Mboma,Pape_village,F,Personne agee,1,1,Pape_village,R,,29,village
180,Pape_village,M371,Bangui,1,Adulte,Pape_village,funeral,1,1,1,NA,0,Mboma,Ponga,Mboma,Bondzala,468,Pape_village,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,Pape_village,,Pape_village,1,Adulte,Gwayanga,home_visit,1,1,1,NA,0,Bongomba,,Bongomba,Bondzala,471,Bayanga,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,Macao_camp2,,Macao,1,Adulte,Macao,funeral,0,,,NA,0,,,Emanongo,Bombongo,451,Macao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,Pape_village,,Pape_village,1,Adulte,Pape_village,funeral,1,1,,1,1,Bondzala,,Bondzala,Boteke,469,Pape_village,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,Macao_camp1,,Zingo,1,Adolescent,Zingo,funeral,0,,,NA,0,Bossombo,,Bossombo,Bokoumou,,Zingo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
185,Macao_camp4,,Macao,1,Adolescent,Macao,,0,,,NA,0,Bomouanga,,Bomouanga,,,Macao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Lango,M7,Macao,1,Adolescent,Macao,funeral,1,1,,1,0,Bossombo,Emanoungou,Bossombo,Bombembe,391,Macao,3,0,Moyimbi,5,4,1,M,Adulte,Macao,2022,NA,NA,NA,NA,NA,NA,Moyimbi,C,F,11,forest_camp
187,,,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Mokumu,Engouta,Mokumu,,,Bangui,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,Macao_camp10,M363,Macao,1,Adolescent,Macao,funeral,1,1,,1,0,Bondzala,,Bondzala,,,Seke,NA,1,Macao_camp10,1,3,3,M,Adulte,Macao,2023,Bondzala,Macao camp 10,M,Adulte,1,1,Macao_camp10,C,V,4,village_camp
189,Bete1,,Bangui,1,Adolescent,Bangui,funeral,0,,,NA,0,Bokiba,Bolobe,Bokiba,Bondza,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,Mboule,M279,Bangui,1,Adolescent,Bangui,village,0,,,NA,0,Bokwete,Bobondjo,Bokwete,Moubonga,322,Bangui,NA,3,Mboule,10,5,2,F,Adulte,Macao,2023,Bokwete,Mboule,F,Adulte,1,3,Mboule,C,V,59,village_camp
191,Mongo,MI134,Minganga,1,Jeune adulte,Attention,funeral,0,NA,NA,NA,0,Mokota,Bombingo,Mokota,,NA,Attention,NA,5,Mongo,1,8,5,M,Adulte,Minganga,2023,Mokota,Mongo,M,Adulte,1,5,Mongo,C,F,15,forest_camp
192,Mongo,MI136,Mossombo,1,Adolescent,Mossombo,funeral,0,NA,NA,NA,0,Botoukou,Bokosso,Botoukou,Mokota,5,Mbili,NA,5,Mongo,2,7,5,F,Adulte,Minganga,2023,Botoukou,Mongo,F,Adulte,1,5,Mongo,C,F,15,forest_camp
193,Mongo,MI137,Mossombo,1,Jeune adulte,Mossombo,funeral,0,NA,NA,NA,0,Mokosso,Mozouye,Mokosso,Botoukou,NA,Mossombo,NA,4,Mongo,3,2,5,F,Personne agee,Minganga,2023,,Mongo,F,Personne agee,1,4,Mongo,C,F,15,forest_camp
194,Mongo,MI138,Mbili,1,Adolescent,Mossombo,funeral,1,1,NA,1,0,Mokota,Bombingo,Mokota,Botoukou,3,Mossombo,NA,5,Mongo,2,7,5,M,Adulte,Minganga,2023,Mokota,Mongo,M,Adulte,1,5,Mongo,C,F,15,forest_camp
195,Mongo,MI143,Mossombo,0,,,,0,NA,NA,NA,0,Motoukou,,,,NA,,NA,0,Mongo,3,2,5,M,Adulte,Minganga,2023,Motoukou,Mongo,M,Adulte,0,0,Mongo,C,F,15,forest_camp
196,Mossombo,MI144,,1,Adulte,Mossombo,funeral,1,1,1,NA,1,Botoukou,Djoko,Botoukou,Engouanda,NA,Mossombo,NA,2,Mossombo,NA,4,5,M,Adulte,Minganga,2023,Botoukou,Mossombo,M,Adulte,1,2,Mossombo,R,,NA,village
197,Misseke,MI145,Attention,1,Jeune adulte,Attention,home_visit,0,NA,NA,NA,0,Bonganda,,Bonganda,,13,Attention,NA,2,Misseke_MI,1,4,1,M,Adulte,Minganga,2023,Bonganda,Misseke_MI,M,Adulte,1,2,Misseke_MI,C,F,9,forest_camp
198,Misseke,MI146,Attention,0,,,,0,NA,NA,NA,0,Moundousse,Bonganda,Moundousse,Bonganda,12,Attention,NA,2,Misseke_MI,1,4,1,F,Adulte,Minganga,2023,Moundousse,Misseke_MI,F,Adulte,1,2,Misseke_MI,C,F,9,forest_camp
199,Misseke,MI149,Ikelemba,1,Adulte,Attention,funeral,1,1,NA,1,0,Idongo,Djoko,Bokiba,Bonganda,NA,Attention,NA,3,Misseke_MI,2,1,3,M,Personne agee,Minganga,2023,Idongo,Misseke_MI,M,Personne agee,1,3,Misseke_MI,C,F,9,forest_camp
200,Misseke,MI150,Attention,1,Adolescent,Toukoulaka,funeral,0,NA,NA,NA,1,Bondousse,Bonganda,Bondousse,Bokiba,18,Attention,NA,3,Misseke_MI,3,4,1,M,Adulte,Minganga,2023,Bondousse,Misseke_MI,M,Adulte,1,3,Misseke_MI,C,F,9,forest_camp
201,Misseke,MI151,,1,Adolescent,Attention,home_visit,0,NA,NA,NA,0,Bokiba,Bonganda,Bokiba,Bondosse,17,Attention,NA,3,Misseke_MI,3,4,1,F,Adulte,Minganga,2023,Bokiba,Misseke_MI,F,Adulte,1,3,Misseke_MI,C,F,9,forest_camp
202,Bouma,MI154,,1,Enfant,Minganga,funeral,0,NA,NA,NA,0,Bolobe,,,Etombe,22,Minganga,NA,4,Bouma,1,7,2,M,Adulte,Minganga,2023,Bolobe,Bouma,M,Adulte,1,4,Bouma,C,V,21,village_camp
